2017-03-14 14:04:39.854 [最新]接收到逐笔数据：要求的大单数据起始序号：10880
2017-03-14 14:04:50.245 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:26,1995,2500
2017-03-14 14:04:50.245 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:26,1994,-1000
2017-03-14 14:04:50.246 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:27,1995,500
2017-03-14 14:04:50.246 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:28,1994,-2000
2017-03-14 14:04:50.247 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-2200
2017-03-14 14:04:50.247 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-1500
2017-03-14 14:04:50.247 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-600
2017-03-14 14:04:50.248 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-300
2017-03-14 14:04:50.248 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-2100
2017-03-14 14:04:50.249 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-400
2017-03-14 14:04:50.249 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-1000
2017-03-14 14:04:50.249 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:30,1994,500
2017-03-14 14:04:50.250 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:32,1993,-200
2017-03-14 14:04:50.250 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-6900
2017-03-14 14:04:50.251 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-100
2017-03-14 14:04:50.251 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-700
2017-03-14 14:04:50.252 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-300
2017-03-14 14:04:50.252 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-100
2017-03-14 14:04:50.253 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:36,1994,100
2017-03-14 14:04:50.333 [最新]接收到逐笔数据：要求的大单数据起始序号：10933
2017-03-14 14:04:50.333 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:36,1994,100
2017-03-14 14:04:50.333 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:36,1993,-1000
2017-03-14 14:04:50.393 [最新]接收到逐笔数据：要求的大单数据起始序号：10912
2017-03-14 14:04:50.394 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:24,1994,-100
2017-03-14 14:04:50.394 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:25,1994,-1000
2017-03-14 14:04:50.394 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:25,1994,-500
2017-03-14 14:04:50.395 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:26,1995,2500
2017-03-14 14:04:50.395 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:26,1994,-1000
2017-03-14 14:04:50.395 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:27,1995,500
2017-03-14 14:04:50.396 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:28,1994,-2000
2017-03-14 14:04:50.396 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-2200
2017-03-14 14:04:50.396 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-1500
2017-03-14 14:04:50.397 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-600
2017-03-14 14:04:50.397 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-300
2017-03-14 14:04:50.397 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-2100
2017-03-14 14:04:50.398 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-400
2017-03-14 14:04:50.399 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:29,1994,-1000
2017-03-14 14:04:50.399 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:30,1994,500
2017-03-14 14:04:50.399 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:32,1993,-200
2017-03-14 14:04:50.400 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-6900
2017-03-14 14:04:50.400 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-100
2017-03-14 14:04:50.400 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-700
2017-03-14 14:04:50.401 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-300
2017-03-14 14:04:50.402 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:33,1993,-100
2017-03-14 14:04:50.402 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:36,1994,100
2017-03-14 14:04:50.402 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:36,1993,-1000
2017-03-14 14:04:50.403 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:37,1994,700
2017-03-14 14:04:52.284 [最新]接收到逐笔数据：要求的大单数据起始序号：10912
2017-03-14 14:04:52.284 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:24,1994,-100
2017-03-14 14:04:52.284 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:25,1994,-1000
2017-03-14 14:04:52.285 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:25,1994,-500
2017-03-14 14:04:52.285 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:26,1995,2500
2017-03-14 14:04:52.285 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:26,1994,-1000
2017-03-14 14:04:52.285 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:27,1995,500
